發生年,發生月,發生日,發生時,發生分,區序,處理別,肇事地點,死亡人數,受傷人數,當事人序,車種,性別,年齡,受傷程度,4天候,7速限,8道路型態,9事故位置
102,01,13,11,30,01大同區,1,延平北路 南京西路,1,0,1,B01,1,51,3,6,50,04,02
102,01,13,11,30,01大同區,1,延平北路 南京西路,1,0,2,C03,1,61,1,6,50,04,02
102,09,16,01,47,01大同區,1,承德路 長安西路,1,1,1,,3,,,8,50,04,01
102,09,16,01,47,01大同區,1,承德路 長安西路,1,1,2,C03,1,20,1,8,50,04,01
102,09,16,01,47,01大同區,1,承德路 長安西路,1,1,3,C03,1,20,2,8,50,04,01
102,09,16,01,47,01大同區,1,承德路 長安西路,1,1,4,A04,1,25,3,8,50,04,01
102,12,31,08,38,01大同區,1,承德路 平陽街,1,1,1,B03,1,69,3,7,50,04,01
102,12,31,08,38,01大同區,1,承德路 平陽街,1,1,2,C03,1,20,1,7,50,04,01
102,12,31,08,38,01大同區,1,承德路 平陽街,1,1,3,H02,2,23,2,7,50,04,01
102,06,20,23,27,02萬華區,1,萬華區西園路2段124號,1,1,1,C03,1,23,2,8,50,14,08
102,06,20,23,27,02萬華區,1,萬華區西園路2段124號,1,1,2,F01,1,61,1,8,50,14,08
102,08,08,08,55,02萬華區,1,昆明街 桂林路,1,0,1,B03,1,44,3,8,50,04,02
102,08,08,08,55,02萬華區,1,昆明街 桂林路,1,0,2,H01,1,69,1,8,50,04,02
102,05,19,19,15,02萬華區,1,環河南路 和平西路,1,0,1,B03,1,44,3,8,50,04,02
102,05,19,19,15,02萬華區,1,環河南路 和平西路,1,0,2,H01,2,80,1,8,50,04,02
102,04,01,12,08,02萬華區,1,西園路2段 東園街,1,0,1,C03,1,46,1,7,50,03,02
102,04,01,12,08,02萬華區,1,西園路2段 東園街,1,0,2,,3,,,7,50,03,02
102,02,22,06,20,02萬華區,1,環河南路 廣州街,1,0,1,B01,1,51,3,6,50,04,01
102,02,22,06,20,02萬華區,1,環河南路 廣州街,1,0,2,H01,2,70,1,6,50,04,01
102,12,29,00,30,02萬華區,1,康定路 內江街,1,0,1,C03,1,19,1,6,50,04,01
102,12,29,00,30,02萬華區,1,康定路 內江街,1,0,2,B03,1,37,3,6,50,04,01
102,09,12,15,34,02萬華區,1,華江橋往北市機車道近311021號燈桿,1,1,1,C03,1,18,2,8,40,08,08
102,09,12,15,34,02萬華區,1,華江橋往北市機車道近311021號燈桿,1,1,2,C03,1,77,1,8,40,08,08
102,10,12,11,00,02萬華區,1,光復橋往台北,1,1,1,C03,1,61,2,8,50,08,07
102,10,12,11,00,02萬華區,1,光復橋往台北,1,1,2,C03,1,56,1,8,50,08,07
102,07,18,15,26,02萬華區,1,堤外便道第4號桿,1,2,1,C03,1,28,2,8,40,14,11
102,07,18,15,26,02萬華區,1,堤外便道第4號桿,1,2,2,C03,1,62,1,8,40,14,11
102,07,18,15,26,02萬華區,1,堤外便道第4號桿,1,2,3,C03,2,57,2,8,40,14,11
102,07,30,08,15,02萬華區,1,水源路高架道往南,1,1,1,B12,1,80,1,8,60,11,07
102,07,30,08,15,02萬華區,1,水源路高架道往南,1,1,2,H02,1,33,2,8,60,11,07
102,07,30,08,15,02萬華區,1,水源路高架道往南,1,1,3,,3,,,8,60,11,07
102,08,04,09,05,02萬華區,1,華中橋往台北機車道,1,1,1,C03,1,21,2,8,40,08,11
102,08,04,09,05,02萬華區,1,華中橋往台北機車道,1,1,2,C03,2,57,1,8,40,08,11
102,04,10,20,26,03中山區,1,民權東路 龍江路,1,1,1,H01,1,83,1,8,50,04,02
102,04,10,20,26,03中山區,1,民權東路 龍江路,1,1,2,C03,1,20,2,8,50,04,02
102,01,10,23,30,03中山區,1,北安路112號忠烈祠前,1,1,1,B03,1,32,2,7,50,16,07
102,01,10,23,30,03中山區,1,北安路112號忠烈祠前,1,1,2,C03,1,28,1,7,50,16,07
102,01,27,08,00,03中山區,1,南京東路 建國北路,1,0,1,B01,1,64,3,6,50,04,01
102,01,27,08,00,03中山區,1,南京東路 建國北路,1,0,2,C03,1,57,1,6,50,04,01
102,01,29,21,44,03中山區,1,中山區林森北路50號,1,0,1,B03,1,30,3,8,50,14,09
102,01,29,21,44,03中山區,1,中山區林森北路50號,1,0,2,C04,2,28,1,8,50,14,09
