發生年,發生月,發生日,發生時,發生分,處理別,區序,肇事地點,死亡人數,受傷人數,當事人序,車種,性別,年齡,受傷程度,4天候,7速限,8道路型態,9事故位置
105,04,07,08,15,2,01大同區,大同區民族西路與延平北路4段口,0,1,2,C03,1,26,2,8,50,5,01
105,03,14,07,25,2,01大同區,大同區承德路3段225巷,0,1,1,C03,2,56,2,7,30,3,01
105,03,31,08,28,2,01大同區,大同區民權西路72號,0,2,4,C03,1,36,2,8,50,14,09
105,04,18,12,00,2,01大同區,大同區承德路3段208巷,0,1,1,B01,1,55,3,6,50,14,09
105,04,18,12,00,2,01大同區,大同區承德路3段208巷,0,1,2,C03,1,31,2,6,50,14,09
105,04,19,10,58,2,01大同區,大同區民族西路與大龍街口,0,2,1,B12,1,33,3,8,50,15,18
105,04,19,10,58,2,01大同區,大同區民族西路與大龍街口,0,2,2,H01,1,87,2,8,50,15,18
105,04,19,10,58,2,01大同區,大同區民族西路與大龍街口,0,2,3,H01,2,82,2,8,50,15,18
105,04,13,08,53,2,01大同區,大同區太原路133巷,0,1,2,C03,1,25,2,8,0,3,02
105,04,13,08,53,2,01大同區,大同區太原路133巷,0,1,1,C03,1,105,4,8,0,3,02
105,04,13,14,00,2,01大同區,大同區重慶北路3段191巷21號與民族西路187巷口,0,1,1,B12,1,33,3,6,40,3,02
105,04,13,14,00,2,01大同區,大同區重慶北路3段191巷21號與民族西路187巷口,0,1,2,C03,1,19,2,6,40,3,02
105,04,17,20,53,2,01大同區,大同區承德路1段與南京西路口,0,2,1,H01,1,66,2,7,50,4,02
105,04,17,20,53,2,01大同區,大同區承德路1段與南京西路口,0,2,2,C03,1,20,2,7,50,4,02
105,04,18,18,40,2,01大同區,大同區延平北路1段與甘谷街口,0,3,1,C03,2,26,2,7,50,4,01
105,04,18,18,40,2,01大同區,大同區延平北路1段與甘谷街口,0,3,2,C03,1,54,2,7,50,4,01
105,04,18,18,40,2,01大同區,大同區延平北路1段與甘谷街口,0,3,3,H02,2,27,2,7,50,4,01
105,04,28,19,10,2,01大同區,大同區民生西路167號,0,1,3,C03,2,59,2,7,0,14,09
105,04,28,19,10,2,01大同區,大同區民生西路167號,0,1,1,G06,1,105,4,7,0,14,09
105,04,28,19,10,2,01大同區,大同區民生西路167號,0,1,2,C03,1,105,4,7,0,14,09
105,04,29,19,00,2,01大同區,大同區承德路1段與長安西路口,0,1,1,C03,1,27,2,7,50,4,01
105,04,29,19,00,2,01大同區,大同區承德路1段與長安西路口,0,1,2,C03,1,23,3,7,50,4,01
